price,area,bedrooms,bathrooms,address
3.2,64.0,1.0,2.0,quận 9
11.8,79.0,2.0,2.0,quận 1
13.5,77.0,2.0,2.0,quận 1
14.8,66.0,2.0,2.0,quận 1
7.0,63.5,2.0,2.0,quận 2
10.5,74.2,2.0,2.0,quận 2
8.0,80.0,2.0,2.0,quận 2
8.4,80.0,2.0,2.0,quận 2
8.8,72.0,2.0,2.0,quận 2
11.0,79.0,2.0,2.0,quận 2
18.5,107.0,2.0,2.0,quận 2
16.9,83.0,2.0,2.0,quận 2
21.0,80.0,2.0,2.0,quận 2
6.9,68.0,2.0,2.0,quận 2
7.4,72.0,2.0,2.0,quận 2
8.7,81.0,2.0,2.0,quận 2
9.3,85.0,2.0,2.0,quận 2
8.5,71.0,2.0,2.0,quận 2
11.8,89.0,2.0,2.0,quận 2
12.0,89.0,2.0,2.0,quận 2
10.3,74.0,2.0,2.0,quận 2
8.4,90.0,2.0,2.0,quận 2
7.9,77.0,2.0,2.0,quận 2
16.5,94.0,2.0,2.0,quận 2
18.0,97.0,2.0,2.0,quận 2
5.7,68.0,2.0,2.0,quận 2
10.0,94.0,2.0,2.0,quận 2
10.6,75.0,2.0,2.0,quận 2
11.0,76.0,2.0,2.0,quận 2
6.2,70.0,2.0,2.0,quận 2
8.3,80.0,2.0,2.0,quận 2
4.9,65.0,2.0,2.0,quận 2
5.2,73.0,2.0,2.0,quận 2
7.5,87.0,2.0,2.0,quận 2
9.5,98.0,2.0,2.0,quận 2
8.3,85.0,2.0,2.0,quận 2
7.0,74.0,2.0,2.0,quận 2
7.8,73.0,2.0,2.0,quận 2
9.9,91.0,2.0,2.0,quận 2
5.2,65.0,2.0,2.0,quận 2
9.2,96.0,2.0,2.0,quận 2
7.2,72.0,2.0,2.0,quận 2
17.5,90.0,2.0,2.0,quận 2
12.3,75.0,2.0,2.0,quận 2
18.5,107.0,2.0,2.0,quận 2
17.5,94.0,2.0,2.0,quận 2
3.1,55.0,2.0,2.0,quận 2
6.2,90.0,2.0,2.0,quận 2
6.6,71.0,2.0,2.0,quận 2
8.8,77.0,2.0,2.0,quận 2
7.7,72.0,2.0,2.0,quận 3
7.9,43.0,2.0,2.0,quận 3
6.64,83.0,2.0,2.0,quận 4
6.2,82.0,2.0,2.0,quận 4
6.75,80.0,2.0,2.0,quận 4
7.5,90.0,2.0,2.0,quận 4
7.2,84.0,2.0,2.0,quận 4
7.6,80.0,2.0,2.0,quận 4
7.37,75.0,2.0,2.0,quận 4
8.2,76.0,2.0,2.0,quận 4
4.5,82.0,2.0,2.0,quận 4
6.85,81.0,2.0,2.0,quận 4
7.9,75.0,2.0,2.0,quận 4
8.0,82.0,2.0,2.0,quận 4
8.5,87.0,2.0,2.0,quận 5
11.0,90.0,2.0,2.0,quận 5
9.3,86.0,2.0,2.0,quận 5
12.0,90.0,2.0,2.0,quận 5
5.1,70.0,2.0,2.0,quận 6
5.2,70.0,2.0,2.0,quận 6
5.2,70.0,2.0,2.0,quận 6
4.1,84.0,2.0,2.0,quận 6
3.7,72.0,2.0,2.0,quận 7
3.7,70.0,2.0,2.0,quận 7
3.7,67.0,2.0,2.0,quận 7
4.58,75.0,2.0,2.0,quận 7
5.55,66.0,2.0,2.0,quận 7
5.5,66.0,2.0,2.0,quận 7
5.68,65.0,2.0,2.0,quận 7
8.0,100.0,2.0,2.0,quận 7
3.52,69.0,2.0,2.0,quận 7
3.8,66.0,2.0,2.0,quận 7
5.2,93.0,2.0,2.0,quận 7
5.6,76.0,2.0,2.0,quận 7
7.0,82.0,2.0,2.0,quận 7
3.5,67.0,2.0,2.0,quận 7
5.45,75.0,2.0,2.0,quận 7
7.8,94.0,2.0,2.0,quận 7
4.48,82.0,2.0,2.0,quận 7
4.65,72.0,2.0,2.0,quận 7
7.9,99.0,2.0,2.0,quận 7
3.69,66.66,2.0,2.0,quận 7
4.0,70.0,2.0,2.0,quận 7
3.45,70.0,2.0,2.0,quận 7
7.9,100.0,2.0,2.0,quận 7
7.3,77.0,2.0,2.0,quận 7
6.3,70.02,2.0,2.0,quận 7
4.55,82.0,2.0,2.0,quận 7
4.5,69.0,2.0,2.0,quận 7
8.0,97.0,2.0,2.0,quận 7
8.0,97.0,2.0,2.0,quận 7
7.6,79.0,2.0,2.0,quận 7
10.2,86.0,2.0,2.0,quận 7
9.45,80.5,2.0,2.0,quận 7
2.79,85.0,2.0,2.0,quận 7
5.69,81.0,2.0,2.0,quận 7
5.35,76.0,2.0,2.0,quận 7
5.5,75.0,2.0,2.0,quận 7
4.15,57.0,2.0,2.0,quận 7
7.5,78.0,2.0,2.0,quận 7
3.4,66.66,2.0,2.0,quận 7
8.5,88.0,2.0,2.0,quận 7
10.3,98.0,2.0,2.0,quận 7
2.65,73.0,2.0,2.0,quận 8
2.35,62.0,2.0,2.0,quận 8
3.35,60.0,2.0,2.0,quận 8
7.5,77.4,2.0,2.0,quận 8
2.65,74.0,2.0,2.0,quận 8
2.99,66.0,2.0,2.0,quận 8
2.25,62.0,2.0,2.0,quận 8
3.35,60.0,2.0,2.0,quận 8
5.52,77.27,2.0,2.0,quận 9
2.8,70.0,2.0,2.0,quận 9
2.9,60.0,2.0,2.0,quận 9
3.95,79.0,2.0,2.0,quận 9
3.9,74.0,2.0,2.0,quận 9
3.6,70.0,2.0,2.0,quận 9
3.0,60.0,2.0,2.0,quận 9
3.5,59.0,2.0,2.0,quận 9
3.12,59.0,2.0,2.0,quận 9
4.8,68.0,2.0,2.0,quận 9
4.9,68.0,2.0,2.0,quận 9
5.1,80.0,2.0,2.0,quận 9
3.57,79.0,2.0,2.0,quận 9
3.5,74.0,2.0,2.0,quận 9
5.76,80.0,2.0,2.0,quận 9
6.0,80.0,2.0,2.0,quận 9
3.3,69.0,2.0,2.0,quận 9
3.25,55.0,2.0,2.0,quận 9
2.8,58.0,2.0,2.0,quận 9
3.1,63.0,2.0,2.0,quận 9
4.25,75.0,2.0,2.0,quận 9
5.54,80.0,2.0,2.0,quận 9
3.39,79.0,2.0,2.0,quận 9
3.75,73.0,2.0,2.0,quận 9
3.92,69.0,2.0,2.0,quận 9
3.25,65.0,2.0,2.0,quận 9
4.45,73.0,2.0,2.0,quận 9
4.15,67.0,2.0,2.0,quận 9
4.1,72.6,2.0,2.0,quận 9
3.9,73.0,2.0,2.0,quận 9
3.4,67.0,2.0,2.0,quận 9
4.0,72.0,2.0,2.0,quận 9
3.8,74.0,2.0,2.0,quận 9
2.5,47.0,2.0,2.0,quận 9
3.3,69.0,2.0,2.0,quận 9
4.55,70.0,2.0,2.0,quận 9
5.3,74.0,2.0,2.0,quận 9
4.4,74.0,2.0,2.0,quận 9
4.35,72.0,2.0,2.0,quận 9
5.44,80.0,2.0,2.0,quận 9
10.47,86.9,2.0,2.0,quận 10
8.8,86.0,2.0,2.0,quận 10
9.8,87.0,2.0,2.0,quận 10
9.3,87.0,2.0,2.0,quận 10
9.8,86.0,2.0,2.0,quận 10
9.8,86.0,2.0,2.0,quận 10
10.52,87.0,2.0,2.0,quận 10
3.85,85.0,2.0,2.0,quận 10
9.7,87.0,2.0,2.0,quận 10
9.0,87.0,2.0,2.0,quận 10
6.6,79.0,2.0,2.0,quận 10
1.4,55.0,2.0,2.0,bình chánh
1.89,50.0,2.0,2.0,bình chánh
1.87,50.0,2.0,2.0,bình chánh
2.6,59.0,2.0,2.0,bình chánh
2.6,59.0,2.0,2.0,bình chánh
4.55,78.0,2.0,2.0,bình chánh
1.3,60.0,2.0,2.0,bình chánh
1.07,55.0,2.0,2.0,bình chánh
1.5,53.0,2.0,2.0,bình chánh
1.7,50.0,2.0,2.0,bình chánh
2.6,59.0,2.0,2.0,bình chánh
2.65,59.0,2.0,2.0,bình chánh
2.65,59.0,2.0,2.0,bình chánh
2.58,59.0,2.0,2.0,bình chánh
5.0,78.0,2.0,2.0,bình chánh
3.18,69.0,2.0,2.0,bình chánh
4.4,78.0,2.0,2.0,bình chánh
4.6,73.0,2.0,2.0,bình chánh
5.2,78.0,2.0,2.0,bình chánh
4.3,74.0,2.0,2.0,bình tân
4.1,68.0,2.0,2.0,bình tân
4.2,68.0,2.0,2.0,bình tân
3.25,70.0,2.0,2.0,bình tân
4.0,69.0,2.0,2.0,bình tân
4.5,80.0,2.0,2.0,bình tân
4.5,80.0,2.0,2.0,bình tân
4.65,80.0,2.0,2.0,bình tân
4.2,75.0,2.0,2.0,bình tân
1.92,48.0,2.0,2.0,gò vấp
1.92,48.0,2.0,2.0,gò vấp
2.15,53.0,2.0,2.0,gò vấp
2.0,50.0,2.0,2.0,gò vấp
2.0,50.0,2.0,2.0,gò vấp
1.88,47.0,2.0,2.0,gò vấp
1.92,48.0,2.0,2.0,gò vấp
1.95,48.0,2.0,2.0,gò vấp
7.0,47.0,2.0,2.0,gò vấp
7.99,83.0,2.0,2.0,bình thạnh
8.3,89.0,2.0,2.0,bình thạnh
8.0,86.0,2.0,2.0,bình thạnh
8.3,82.0,2.0,2.0,bình thạnh
12.8,86.0,2.0,2.0,bình thạnh
8.1,88.0,2.0,2.0,bình thạnh
8.9,82.0,2.0,2.0,bình thạnh
8.5,80.0,2.0,2.0,bình thạnh
13.8,107.0,2.0,2.0,bình thạnh
13.7,107.0,2.0,2.0,bình thạnh
9.6,72.0,2.0,2.0,bình thạnh
15.0,105.0,2.0,2.0,bình thạnh
8.5,86.0,2.0,2.0,bình thạnh
8.5,89.0,2.0,2.0,bình thạnh
9.8,82.0,2.0,2.0,bình thạnh
