title,price,area,bedrooms,bathrooms,address
"Giá 20,6 tỷ all in căn 1PN tầng cao full nội thất, có sẵn hợp đồng thuê - Grand Marina Sai Gon",20600,58.1,1,1,Quận 1
Grand Marina Saigon - Em chuyên săn những căn bán cắt lỗ (56m2-20tỷ) (87m2-30tỷ) (150m2-65tỷ),20000,56,1,1,Quận 1
"Sốc! CH 1PN Vinhomes Golden River view sông L81 thoáng cần bán giá 8,9 tỷ All In (TL) LH0903 147 ***",8900,51,1,1,Quận 1
Bason bán 1PN giá 9.5 tỷ bao thuế phí call0937 600 ***xem nhà 24/7,9500,50,1,1,Quận 1
"Căn Hộ 1PN The Marq Giá 10.2 Tỷ tại Nguyễn Đình Chiểu, Đa Kao, Q1, HCM. Zalo0938 839 ***",10200,48,1,1,Quận 1
"Lumiere Riverside em chuyên săn những căn giá gốc cắt lỗ (52m2-8,5tỷ) (77m2-10,5 tỷ) (101m2-15tỷ)",8500,52,1,1,Quận 2
Nắm full giỏ hàng đang bán tại Empire City 1PN-2PN-3PN-4PN mới nhất. Cam kết giá rẻ nhất thị trường,13700,64,1,1,Quận 2
"Giỏ hàng Estella Heights 1PN, 2PN, 3PN, 4PN, duplex, penthouse, NH hỗ trợ vay 80%. PKD0919 869 ***",7300,60,1,1,Quận 2
Em là Hạnh chuyên phân phối giỏ hàng chuyển nhượng và giỏ hàng mới nhất của CĐT dự án Eaton Park,7000,55,1,0,Quận 2
"Bán căn hộ CC The River Thủ Thiêm T11 1PN 11.3tỷ (2PN 14,5tỷ) (3PN - 23.5tỷ) (4PN 45tỷ)(Pent 150tỷ)",11300,64,1,1,Quận 2
(Giỏ hàng 30 căn) Giá tốt nhất - căn hộ Galleria Residence - Metropole,12000,50,1,1,Quận 2
"Suất ngoại giao chiết khấu 22% căn hộ Masteri Park Place CT5, chọn căn ưu tiên. LH trực tiếp CĐT",8000,81,1,1,Quận 2
"GALLERIA - EM CHUYÊN SĂN HÀNG RẺ NHẤT: 1PN, 2PN, 3PN, 4PN - (50m2-12tỷ) (70m2-18tỷ) (100m2-20tỷ)...",12000,50,1,1,Quận 2
Độc quyền bán 1PN Galleria - Tầng cao - View sông - Căn góc - Nhà mới 100%,13500,50,1,1,Quận 2
Bảng giá 11/2025 bán căn hộ Victoria Village cập nhật mới nhất,4200,52,1,0,Quận 2
"Bán căn hộ 1 PN Lexington 49 m2, giá 3,8 tỷ, giá tốt nhất, LH0835 558 ***",3800,49,1,1,Quận 2
"Tin thật 100% - Cập nhật list căn hộ Đảo Kim Cương T11/2025, thiết kế hiện đại đủ loại hình căn hộ",4350,48,1,1,Quận 2
"Bán căn hộ 1 phòng ngủ giá 6,3 tỷ BAO HẾT tốt nhất hiện nay - Masteri AN PHÚ - layout đẹp",6300,52,1,1,Quận 2
"Mặt tiền Song Hành, Xa Lộ Hà Nội, Quận 2. DT ~20x35m. CTXD: 50 tầng. Giá: 180 tỷ, khu cao ốc",180000,500,1,1,Quận 2
"Chỉ TT 2 tỷ sở hữu căn hộ ngay trung tâm Quận 2, 1PN giá 6,9 tỷ hỗ trợ lãi suất 2028 nhận nhà",6900,54.8,1,1,Quận 2
