Tiêu đề,Giá (tỷ),Diện tích (m²),PN,WC,Địa chỉ,Hướng,Link,Giá/m² (triệu)
Căn hộ  Saigon South Residence 2 Phòng Ngủ,5.7,71.42,2,2,Nhà Bè,Bắc,https://rever.vn/mua/can-ho-saigon-south-residence-2pn-huong-dong-view-song-truc-dien-dien-tich-75m2,79.81
Bán Căn hộ 2 Phòng Ngủ Celesta Rise Đầy Đủ Nội Thất,5.82,79.7,2,2,Nhà Bè,Đông Nam,https://rever.vn/mua/ban-officetel-d-vela-tang-thap-1-phong-ngu-dien-tich-34m2-khong-kem-noi-that,73.02
Căn hộ Empire City 3 Phòng ngủ diện tích 154m²,35.0,154.0,3,2,Quận 2,Đông Bắc,https://rever.vn/mua/can-ho-empire-city-ban-cong-huong-tay-nam-mat-me,227.27
Bán Căn hộ Empire City 3 Phòng ngủ diện tích 149m²,35.0,149.0,3,2,Quận 2,Đông Bắc,https://rever.vn/mua/can-ho-empire-city-tang-11-cua-huong-dong-bac-thoang-mat,234.9
Căn hộ Empire City hướng 3 phòng ngủ diện tích 160.68m²,33.0,160.68,3,2,Quận 2,Đông Bắc,https://rever.vn/mua/can-ho-co-2-phong-ngu-empire-city-noi-that-co-ban-1,205.38
Bán căn hộ 3 Phòng Ngủ Empire City thủ thiêm diện tích 155m²,35.0,155.0,3,2,Quận 2,Đông Bắc,https://rever.vn/mua/can-ho-hang-sang-empire-city-dien-tich-126-27m2-day-du-tien-ich,225.81
"Căn hộ Sunrise Riverside tầng thấp hướng Đông, diện tích 70m²",4.9,70.0,2,2,Nhà Bè,Tây,https://rever.vn/mua/can-ho-sunrise-riverside-huong-ban-cong-bac-day-du-noi-that-dien-tich-69-42m2-1,70.0
"Cho thuê căn hộ Sunrise Riverside View sông diện tích 99m2 - 3 phòng ngủ, đầy đủ nội thất.",6.5,99.0,3,2,Nhà Bè,Nam,https://rever.vn/mua/cho-thue-can-ho-sunrise-riverside-tang-trung-dien-tich-99m2-3-phong-ngu-day-du-noi-that,65.66
Căn hộ Define 4 phòng ngủ GIÁ THU HỒI VỐN,37.0,325.9,4,6,Quận 2,,https://rever.vn/mua/can-ho-define-huong-ban-cong-tay-nam-khong-co-noi-that-dien-tich-325-9m2,113.53
Bán căn hộ Define 3 Phòng Ngủ Sân Vườn,27.5,220.8,3,4,Quận 2,,https://rever.vn/mua/can-ho-cao-cap-define-dien-tich-220-8m2-gia-ban-chi-26-ty,124.55
"Bán siêu căn hộ Define 4PN, 6WC 325m2 Nhà mới 100% ",36.2,324.7,4,6,Quận 2,,https://rever.vn/mua/ban-hoac-cho-thue-4pn-define-324-7m2-tang-cao-view-song,111.49
Căn hộ 5 Phòng Ngủ 4WC  Sunrise Riverside diện tích 170 m²,16.0,170.0,5,4,Nhà Bè,Nam,https://rever.vn/mua/can-ho-sunrise-riverside-tang-thap-hoan-thien-co-ban-noi-that,94.12
"Căn hộ Sunrise Riverside hướng 3pn,2wc đầy đủ nội thất đẹp, giá rẻ nhất dự án",5.4,81.56,3,2,Nhà Bè,Bắc,https://rever.vn/mua/can-ho-sunrise-riverside-huong-3pn-2wc-day-du-noi-that-dep-gia-re-nhat-du-an,66.21
"Căn hộ M-One Nam Sài Gòn hướng Nam, diện tích 63m²",4.04,63.0,2,1,Quận 7,Bắc,https://rever.vn/mua/can-ho-m-one-nam-sai-gon-huong-nam-dien-tich-63-m2,64.13
"Căn hộ M-One Nam Sài Gòn, diện tích 72m²",4.03,72.0,2,2,Quận 7,,https://rever.vn/mua/can-ho-m-one-nam-sai-gon-dien-tich-79m2,55.97
"Căn hộ M-One Nam Sài Gòn hướng Đông, diện tích 63m²",4.13,63.0,2,1,Quận 7,Tây,https://rever.vn/mua/can-ho-m-one-nam-sai-gon-huong-ban-cong-dong-noi-that-co-ban-dien-tich-63m2,65.56
"Căn hộ M-One Nam Sài Gòn 2PN, diện tích 68m²",4.15,68.0,2,1,Quận 7,Tây Bắc,https://rever.vn/mua/can-ho-m-one-nam-sai-gon-tang-8-thiet-ke-3-phong-ngu-day-du-noi-that,61.03
Căn hộ M-One Nam Sài Gòn 2PN1WC,4.15,65.0,2,1,Quận 7,,https://rever.vn/mua/officetel-m-one-nam-sai-gon-co-1-phong-ngu-day-du-noi-that,63.85
Căn hộ Feliz en Vista hướng Đông Bắc 1 phòng ngủ,6.1,57.0,1,1,Quận 2,Tây Nam,https://rever.vn/mua/can-ho-feliz-en-vista-huong-ban-cong-dong-bac-day-du-noi-that-dien-tich-57m2,107.02
Căn hộ Feliz en Vista hướng ban công đông bắc đầy đủ nội thất diện tích 57.77m².,6.4,57.77,1,1,Quận 2,,https://rever.vn/mua/can-ho-feliz-en-vista-huong-ban-cong-dong-bac-day-du-noi-that-dien-tich-57-77m2-3,110.78
Căn hộ 1PN Feliz en Vista sổ hồng sẵn,6.3,57.77,1,1,Quận 2,,https://rever.vn/mua/can-ho-1pn-feliz-en-vista-57-77m2-gia-thue-chi-15tr,109.05
