price,area,bedrooms,bathrooms,address,price_per_m2
6.1,86.0,2.0,2.0,quận 10,0.07093023255813953
17.5,70.0,2.0,2.0,quận 2,0.25
4.7,150.0,3.0,3.0,quận 8,0.03133333333333333
17.7,128.0,3.0,2.0,quận 5,0.13828125
13.5,100.0,2.0,2.0,quận 2,0.135
5.3,75.0,3.0,3.0,bình tân,0.07066666666666667
4.1,72.6,2.0,2.0,quận 9,0.05647382920110193
28.2,98.0,15.0,15.0,quận 2,0.28775510204081634
20.0,70.0,2.0,2.0,quận 2,0.2857142857142857
3.95,21.0,2.0,3.0,tân bình,0.1880952380952381
3.25,53.8,1.0,1.0,quận 9,0.0604089219330855
36.8,72.0,13.0,14.0,quận 1,0.5111111111111111
2.85,69.3,2.0,2.0,quận 9,0.04112554112554113
9.39,103.0,2.0,2.0,quận 2,0.09116504854368933
55.9,145.0,3.0,2.0,quận 1,0.3855172413793103
3.7,66.0,2.0,2.0,quận 7,0.05606060606060606
24.9,132.0,5.0,5.0,quận 9,0.18863636363636363
5.4,66.2,2.0,2.0,quận 7,0.08157099697885196
5.9,108.0,2.0,2.0,quận 10,0.05462962962962963
2.75,60.0,2.0,1.0,quận 8,0.04583333333333333
4.4,115.0,2.0,2.0,quận 8,0.0382608695652174
4.55,70.0,2.0,2.0,quận 9,0.065
3.6,71.42,2.0,2.0,nhà bè,0.0504060487258471
3.85,33.0,2.0,2.0,tân phú,0.11666666666666667
9.5,123.0,3.0,2.0,quận 2,0.07723577235772358
8.2,76.0,2.0,2.0,quận 4,0.10789473684210525
6.4,57.77,1.0,1.0,quận 2,0.11078414401938723
24.3,160.0,4.0,4.0,thủ đức,0.151875
5.7,80.0,2.0,2.0,nhà bè,0.07125000000000001
39.6,180.0,27.0,28.0,bình thạnh,0.22
2.66,64.0,2.0,1.0,bình thạnh,0.0415625
1.69,1.0,2.0,2.0,quận 3,1.69
5.2,172.0,3.0,2.0,quận 8,0.030232558139534883
6.9,66.0,4.0,4.0,bình tân,0.10454545454545455
5.9,52.0,1.0,1.0,bình thạnh,0.11346153846153847
31.0,210.0,28.0,28.0,quận 9,0.14761904761904762
15.9,102.0,2.0,2.0,quận 2,0.15588235294117647
32.0,136.0,6.0,6.0,gò vấp,0.23529411764705882
5.0,76.0,3.0,2.0,quận 9,0.06578947368421052
2.65,73.0,2.0,2.0,quận 8,0.036301369863013695
3.7,82.0,2.0,2.0,quận 8,0.0451219512195122
23.0,166.0,2.0,2.0,quận 1,0.13855421686746988
3.205,72.0,2.0,2.0,quận 3,0.04451388888888889
4.6,80.0,2.0,2.0,quận 4,0.057499999999999996
1.55,61.0,2.0,2.0,quận 2,0.02540983606557377
7.2,105.0,1.0,2.0,nhà bè,0.06857142857142857
8.9,82.0,2.0,2.0,bình thạnh,0.10853658536585366
12.9,115.0,3.0,2.0,bình thạnh,0.11217391304347826
1.77,91.0,3.0,2.0,quận 8,0.01945054945054945
4.4,70.0,2.0,2.0,nhà bè,0.06285714285714286
10.52,87.0,2.0,2.0,quận 10,0.12091954022988505
5.0,79.0,2.0,2.0,quận 10,0.06329113924050633
9.3,85.0,2.0,2.0,quận 2,0.10941176470588236
5.3,66.57,2.0,2.0,quận 7,0.07961544239146763
13.8,117.0,3.0,2.0,quận 2,0.11794871794871796
11.7,140.0,3.0,0.0,quận 7,0.08357142857142856
1.86,68.0,2.0,2.0,quận 3,0.02735294117647059
7.25,71.7,2.0,2.0,quận 2,0.10111576011157601
5.2,81.5,3.0,2.0,quận 9,0.0638036809815951
5.55,66.0,2.0,2.0,quận 7,0.08409090909090909
1.69,86.0,2.0,2.0,quận 5,0.019651162790697674
2.58,58.9,2.0,2.0,quận 9,0.04380305602716469
2.1,108.0,3.0,3.0,quận 9,0.019444444444444445
169.0,250.0,14.0,16.0,quận 1,0.676
19.75,135.0,3.0,2.0,quận 5,0.14629629629629629
17.6,103.0,4.0,5.0,quận 2,0.17087378640776701
10.2,88.0,2.0,2.0,quận 2,0.1159090909090909
3.9,74.0,2.0,1.0,quận 5,0.0527027027027027
1.705,110.0,3.0,3.0,quận 2,0.0155
9.0,73.8,2.0,2.0,quận 2,0.12195121951219513
27.5,188.0,4.0,3.0,bình thạnh,0.14627659574468085
11.8,120.0,3.0,3.0,quận 2,0.09833333333333334
6.35,64.0,4.0,2.0,tân phú,0.09921875
2.6,59.0,2.0,2.0,quận 9,0.04406779661016949
2.99,53.0,1.0,1.0,quận 7,0.05641509433962265
1.93,122.0,3.0,3.0,quận 4,0.01581967213114754
2.0,75.0,2.0,2.0,quận 1,0.02666666666666667
1.405,70.0,2.0,2.0,bình thạnh,0.020071428571428573
9.9,75.0,2.0,2.0,quận 2,0.132
3.6,50.0,1.0,1.0,quận 10,0.07200000000000001
7.78,97.0,3.0,2.0,quận 9,0.08020618556701031
3.8,71.45,2.0,2.0,quận 9,0.05318404478656403
1.985,75.0,2.0,2.0,quận 3,0.02646666666666667
1.89,50.0,2.0,2.0,bình chánh,0.0378
2.15,53.0,2.0,2.0,gò vấp,0.040566037735849055
9.0,120.0,3.0,2.0,quận 7,0.075
2.5,54.0,2.0,2.0,quận 12,0.046296296296296294
5.3,74.0,2.0,2.0,quận 9,0.07162162162162163
6.2,73.2,4.0,3.0,quận 12,0.08469945355191257
4.4,70.0,2.0,2.0,nhà bè,0.06285714285714286
5.4,67.2,2.0,2.0,quận 7,0.08035714285714286
11.0,121.0,3.0,2.0,quận 1,0.09090909090909091
4.2,69.2,2.0,2.0,quận 9,0.06069364161849711
8.4,73.1,2.0,2.0,quận 2,0.11491108071135432
2.9,43.0,1.0,1.0,quận 4,0.06744186046511627
90.0,59.0,2.0,2.0,quận 1,1.5254237288135593
8.0,110.2,4.0,5.0,bình tân,0.07259528130671507
11.1,114.0,3.0,2.0,quận 4,0.09736842105263158
5.7,57.0,2.0,1.0,quận 3,0.1
13.5,50.0,1.0,1.0,quận 2,0.27
2.6,74.0,2.0,1.0,quận 5,0.03513513513513514
3.8,100.0,3.0,2.0,quận 6,0.038
4.72,72.0,2.0,2.0,tân phú,0.06555555555555555
21.0,90.0,15.0,15.0,quận 3,0.23333333333333334
2.6,59.0,2.0,2.0,bình chánh,0.04406779661016949
4.15,68.0,2.0,1.0,quận 7,0.06102941176470589
3.7,62.0,2.0,2.0,quận 4,0.05967741935483871
2.9,58.0,1.0,1.0,quận 9,0.049999999999999996
17.3,150.0,4.0,3.0,bình thạnh,0.11533333333333334
2.1,47.0,1.0,1.0,quận 9,0.04468085106382979
8.5,89.0,2.0,2.0,bình thạnh,0.09550561797752809
2.9,69.0,2.0,2.0,quận 9,0.042028985507246375
5.4,65.96,2.0,2.0,quận 7,0.08186779866585811
30.0,151.0,3.0,3.0,quận 2,0.1986754966887417
1.43,79.0,2.0,2.0,quận 8,0.01810126582278481
2.0,47.0,1.0,1.0,quận 9,0.0425531914893617
2.8,58.0,2.0,2.0,quận 9,0.04827586206896552
4.5,82.3,3.0,2.0,quận 9,0.054678007290400975
3.5,69.0,2.0,2.0,quận 9,0.050724637681159424
2.1,51.4,1.0,1.0,quận 9,0.04085603112840467
11.5,88.0,10.0,11.0,gò vấp,0.13068181818181818
41.0,700.0,5.0,5.0,quận 2,0.05857142857142857
4.35,93.0,2.0,2.0,quận 9,0.04677419354838709
7.0,55.0,1.0,0.0,quận 2,0.12727272727272726
4.55,78.0,2.0,2.0,bình chánh,0.058333333333333334
2.45,50.0,2.0,2.0,quận 12,0.049
3.8,60.0,2.0,2.0,nhà bè,0.06333333333333332
7.9,77.0,2.0,2.0,quận 2,0.1025974025974026
