title,price_ty_vnd,area,bedrooms,bathrooms,district,address_full,furniture
Căn hộ Cielo chỉ 300 triệu sở hữu ngay căn 2PN hiện đại,1.55,52,2,,QUẬN 7,"Lê Văn Lương, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Full
CĂN HỘ CÁCH CHỢ BÌNH CHÁNH 2KM MẶT TIỀN QUỐC LỘ 1A  THÁNH TOÁN CHỈ 20%,1.5,50,2,,HUYỆN BÌNH CHÁNH,"Đường Quốc lộ 1, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",Full
"Cần Bán Căn 2PN 2WC Giá Chỉ 3,2 Tỷ Còn Một Căn ***",3.2,65,2,,HUYỆN BÌNH CHÁNH,"Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",
Trả trước 30% sở hữu ngay căn hộ 1PN giữa trục kết nối SG và Miền Tây,1.12,39,1,,QUẬN 7,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",Full
"Căn Hộ 2PN, 1WC Ngay tại Quốc lộ 1 thích hợp kinh doanh nội khu",1.5,60,2,,HUYỆN BÌNH CHÁNH,"Đường Quốc lộ 1, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",Cơ bản
"Đóng 220 triệu nhận ngay căn hộ 2PN – Vay 70%, ân hạn lãi gốc 24 tháng",1.2,50,2,,HUYỆN BÌNH CHÁNH,"quốc , Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",Full
CĂN HỘ 2PN TẠI DESTINO - GIÁ ƯU ĐÃI TRONG THÁNG 10 - RINH QUÀ NGAY!,1.4,46,2,,HUYỆN BÌNH CHÁNH,"Quốc Lộ 1A, Xã Bình Lợi, Huyện Bình Chánh, Tp Hồ Chí Minh",Full
🏠 CHỈ 240 TRIỆU NHẬN NGAY CĂN HỘ 1PN DESTINO CENTRO 🏠,1.2,40,1,,HUYỆN BÌNH CHÁNH,"1a, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",
"Căn Hộ 2PN,1WC Sát Chợ Bình Chánh, Giai đoạn F0 Chỉ 1,4 Tỷ! Hỗ Trợ Vay",1.4,49,2,,HUYỆN BÌNH CHÁNH,"quốc lộ 1a, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",
CĂN HỘ DESTINO TẦNG 17 CĂN 2 PHÒNG NGỦ GIÁ 1 TỶ 4 VIEW THOÁNG MÁT,1.5,55,2,,HUYỆN BÌNH CHÁNH,"Đường Quốc lộ 1, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",Full
